,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
6421,536944,22383,LUNCH BAG SUKI  DESIGN ,70,12/3/2010 12:20,1.65,12557.0,Spain
6422,536944,22384,LUNCH BAG PINK POLKADOT,100,12/3/2010 12:20,1.45,12557.0,Spain
6423,536944,20727,LUNCH BAG  BLACK SKULL.,60,12/3/2010 12:20,1.65,12557.0,Spain
6424,536944,20725,LUNCH BAG RED RETROSPOT,70,12/3/2010 12:20,1.65,12557.0,Spain
6425,536944,20728,LUNCH BAG CARS BLUE,100,12/3/2010 12:20,1.45,12557.0,Spain
21565,538095,22504,CABIN BAG VINTAGE RETROSPOT,1,12/9/2010 14:55,29.95,17097.0,Spain
21566,538095,22212,FOUR HOOK  WHITE LOVEBIRDS,1,12/9/2010 14:55,2.1,17097.0,Spain
21567,538095,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,1,12/9/2010 14:55,1.25,17097.0,Spain
21568,538095,84818,DANISH ROSE PHOTO FRAME,1,12/9/2010 14:55,2.55,17097.0,Spain
21569,538095,21114,LAVENDER SCENTED FABRIC HEART,5,12/9/2010 14:55,1.25,17097.0,Spain
21570,538095,84692,BOX OF 24 COCKTAIL PARASOLS,1,12/9/2010 14:55,0.42,17097.0,Spain
21571,538095,22796,PHOTO FRAME 3 CLASSIC HANGING,2,12/9/2010 14:55,9.95,17097.0,Spain
21572,538095,40001,WHITE BAMBOO RIBS LAMPSHADE,1,12/9/2010 14:55,0.85,17097.0,Spain
21573,538095,22646,CERAMIC STRAWBERRY CAKE MONEY BANK,1,12/9/2010 14:55,1.45,17097.0,Spain
21574,538095,21883,STARS GIFT TAPE ,2,12/9/2010 14:55,0.65,17097.0,Spain
21575,538095,21879,HEARTS GIFT TAPE,2,12/9/2010 14:55,0.65,17097.0,Spain
21576,538095,22494,EMERGENCY FIRST AID TIN ,2,12/9/2010 14:55,1.25,17097.0,Spain
21577,538095,47566,PARTY BUNTING,1,12/9/2010 14:55,4.65,17097.0,Spain
21578,538095,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/9/2010 14:55,2.95,17097.0,Spain
